fid,name,population,county,latitude,longitude,level,enrollment,level.1
2130,TECATE CHRISTIAN SCHOOL,104,SAN DIEGO,32.578669,-116.630608,Combined elementary and secondary,97,Combined elementary and secondary
2740,TERI LEARNING ACADEMY,69,SAN DIEGO,33.21629,-117.349337,Combined elementary and secondary,63,Combined elementary and secondary
24560,THE ACADEMY,8,SAN DIEGO,32.989807,-117.259493,Elementary,3,Elementary
23842,THE ARCH ACADEMY,26,SAN DIEGO,32.832524,-117.125156,Combined elementary and secondary,23,Combined elementary and secondary
2825,THE BISHOP'S SCHOOL,880,SAN DIEGO,32.841531,-117.279402,Combined elementary and secondary,790,Combined elementary and secondary
21580,THE CAMBRIDGE SCHOOL,131,SAN DIEGO,32.959097,-117.108074,Elementary,121,Elementary
2035,THE CHILDRENS SCHOOL,184,SAN DIEGO,32.850344,-117.253923,Elementary,171,Elementary
24576,THE EVANS SCHOOL,141,SAN DIEGO,32.833537,-117.250071,Elementary,112,Elementary
2216,THE GILLISPIE SCHOOL,191,SAN DIEGO,32.838888,-117.27232,Elementary,169,Elementary
2412,THE GRAUER SCHOOL,177,SAN DIEGO,33.028519,-117.256205,Combined elementary and secondary,152,Combined elementary and secondary
2004,THE NATIVITY SCHOOL,200,SAN DIEGO,32.997277,-117.197549,Elementary,183,Elementary
2753,THE ROCK ACADEMY,348,SAN DIEGO,32.735814,-117.218534,Combined elementary and secondary,321,Combined elementary and secondary
2805,THE WALDORF SCHOOL OF SAN DIEGO,263,SAN DIEGO,32.743017,-117.085505,Combined elementary and secondary,233,Combined elementary and secondary
2313,TORAH HIGH SCHOOL OF SAN DIEGO,65,SAN DIEGO,32.870806,-117.206737,Secondary,44,Secondary
2148,TRI-CITY CHRISTIAN SCHOOLS,666,SAN DIEGO,33.191682,-117.279603,Combined elementary and secondary,622,Combined elementary and secondary
2609,TRINITY CHRISTIAN SCHOOL,121,SAN DIEGO,32.749774,-117.007175,Elementary,109,Elementary
2065,VALLEY CHRISTIAN SCHOOL,164,SAN DIEGO,33.132325,-117.199117,Elementary,153,Elementary
24696,VILLAGE GATE CHILDREN'S ACADEMY,40,SAN DIEGO,33.02836,-117.265232,Elementary,36,Elementary
2073,VISTA CHRISTIAN SCHOOL,183,SAN DIEGO,33.199745,-117.256349,Elementary,172,Elementary
2136,WARREN-WALKER SCHOOL,267,SAN DIEGO,32.734278,-117.251508,Elementary,236,Elementary
2340,WARREN-WALKER SCHOOL-LA MESA,271,SAN DIEGO,32.773022,-117.006755,Elementary,260,Elementary
24799,WEE CARE PRESCHOOL,45,SAN DIEGO,32.655702,-117.081564,Elementary,24,Elementary
2243,WEST COAST BAPTIST SCHOOL,50,SAN DIEGO,33.169962,-117.247066,Combined elementary and secondary,45,Combined elementary and secondary
2810,WINSTON SCHOOL,123,SAN DIEGO,32.952865,-117.264184,Combined elementary and secondary,109,Combined elementary and secondary
2692,ZION LUTHERAN SCHOOL,109,SAN DIEGO,33.37644,-117.229421,Elementary,98,Elementary
2198,ADDA CLEVENGER JR PREPARATORY & THEATER SCHOOL,172,SAN FRANCISCO,37.757718,-122.493166,Elementary,151,Elementary
2641,ARCHBISHOP RIORDAN HIGH SCHOOL,604,SAN FRANCISCO,37.727739,-122.452776,Secondary,572,Secondary
2194,BAIS MENACHEM YESHIVA DAY SCHOOL,36,SAN FRANCISCO,37.77362,-122.48731,Elementary,30,Elementary
23344,BIG CITY MONTESSORI SCHOOL,4,SAN FRANCISCO,37.738654,-122.405432,Elementary,3,Elementary
2664,BRANDEIS-HILLEL DAY SCHOOL,647,SAN FRANCISCO,37.713383,-122.475523,Elementary,576,Elementary
2517,CATHEDRAL SCHOOL FOR BOYS,305,SAN FRANCISCO,37.792023,-122.413425,Elementary,267,Elementary
2339,CHILDREN'S DAY SCHOOL,310,SAN FRANCISCO,37.764141,-122.426167,Elementary,278,Elementary
2678,CONVENT OF THE SACRED HEART ELEMENTARY SCHOOL,401,SAN FRANCISCO,37.79445,-122.43324,Elementary,350,Elementary
2314,CONVENT OF THE SACRED HEART HIGH SCHOOL,214,SAN FRANCISCO,37.794755,-122.434064,Secondary,181,Secondary
2680,CORNERSTONE ACADEMY,796,SAN FRANCISCO,37.729415,-122.419265,Combined elementary and secondary,746,Combined elementary and secondary
2182,DREW SCHOOL,291,SAN FRANCISCO,37.787633,-122.442365,Secondary,261,Secondary
2628,ECOLE NOTRE DAME DES VICTOIRES SCHOOL,300,SAN FRANCISCO,37.79121,-122.406623,Elementary,285,Elementary
20099,EDGEWOOD CENTER FOR CHILDREN & FAMILIES,62,SAN FRANCISCO,37.737617,-122.48647,Combined elementary and secondary,54,Combined elementary and secondary
2590,EPIPHANY SCHOOL,549,SAN FRANCISCO,37.715655,-122.434712,Elementary,530,Elementary
2679,ERIKSON SCHOOL,8,SAN FRANCISCO,37.775576,-122.484012,Combined elementary and secondary,7,Combined elementary and secondary
